stress_def,fold_id,train_end,test_start,test_end,n_train,n_test,n_dropped_h,n_train_dropped_nan_features,n_test_dropped_nan_features
h5_d03,1,2019-12-31,2020-01-01,2020-12-31,2229,253,0,655,253
h10_d05,1,2019-12-31,2020-01-01,2020-12-31,2229,253,0,655,253
h20_d07,1,2019-12-31,2020-01-01,2020-12-31,2229,253,0,655,253
