stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed,crisis,configuration,is_recovery,auc_full_window,auc_first30,auc_rest,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
h5_d03,NaiveBaseRate,1,251,505,0.5,0.297029702970297,0.23754675589779264,0.16953966312965962,0.12749003984063745,0.0,,,,0,150,505,42,crisis_2008,spx_crisis_2008,False,0.5,0.5,0.5,231,,0.13852813852813856,0.13852813852813853
h5_d03,NaiveBaseRate,1,251,505,0.5,0.297029702970297,0.23754675589779264,0.16953966312965962,0.12749003984063745,0.0,,,,0,150,505,43,crisis_2008,spx_crisis_2008,False,0.5,0.5,0.5,231,,0.13852813852813856,0.13852813852813853
h5_d03,NaiveBaseRate,1,251,505,0.5,0.297029702970297,0.23754675589779264,0.16953966312965962,0.12749003984063745,0.0,,,,0,150,505,44,crisis_2008,spx_crisis_2008,False,0.5,0.5,0.5,231,,0.13852813852813856,0.13852813852813853
h5_d03,NaiveBaseRate,1,251,505,0.5,0.297029702970297,0.23754675589779264,0.16953966312965962,0.12749003984063745,0.0,,,,0,150,505,45,crisis_2008,spx_crisis_2008,False,0.5,0.5,0.5,231,,0.13852813852813856,0.13852813852813853
h5_d03,NaiveBaseRate,1,251,505,0.5,0.297029702970297,0.23754675589779264,0.16953966312965962,0.12749003984063745,0.0,,,,0,150,505,46,crisis_2008,spx_crisis_2008,False,0.5,0.5,0.5,231,,0.13852813852813856,0.13852813852813853
h5_d03,VIXPercentileRaw,1,251,505,0.6554272300469483,0.43077427874968865,0.5509306232920081,0.5903830223659817,0.950199203187251,0.4772277227722772,0.3900414937759336,1.3090850000124683,1.174186296298625,241,150,505,42,crisis_2008,spx_crisis_2008,False,0.6554272300469483,0.07500000000000001,0.6749786780383796,231,,0.7411255411255411,1.0
h5_d03,VIXPercentileRaw,1,251,505,0.6554272300469483,0.43077427874968865,0.5509306232920081,0.5903830223659817,0.950199203187251,0.4772277227722772,0.3900414937759336,1.3090850000124683,1.174186296298625,241,150,505,43,crisis_2008,spx_crisis_2008,False,0.6554272300469483,0.07500000000000001,0.6749786780383796,231,,0.7411255411255411,1.0
h5_d03,VIXPercentileRaw,1,251,505,0.6554272300469483,0.43077427874968865,0.5509306232920081,0.5903830223659817,0.950199203187251,0.4772277227722772,0.3900414937759336,1.3090850000124683,1.174186296298625,241,150,505,44,crisis_2008,spx_crisis_2008,False,0.6554272300469483,0.07500000000000001,0.6749786780383796,231,,0.7411255411255411,1.0
h5_d03,VIXPercentileRaw,1,251,505,0.6554272300469483,0.43077427874968865,0.5509306232920081,0.5903830223659817,0.950199203187251,0.4772277227722772,0.3900414937759336,1.3090850000124683,1.174186296298625,241,150,505,45,crisis_2008,spx_crisis_2008,False,0.6554272300469483,0.07500000000000001,0.6749786780383796,231,,0.7411255411255411,1.0
h5_d03,VIXPercentileRaw,1,251,505,0.6554272300469483,0.43077427874968865,0.5509306232920081,0.5903830223659817,0.950199203187251,0.4772277227722772,0.3900414937759336,1.3090850000124683,1.174186296298625,241,150,505,46,crisis_2008,spx_crisis_2008,False,0.6554272300469483,0.07500000000000001,0.6749786780383796,231,,0.7411255411255411,1.0
