stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed
h10_d05,LogisticRegressionL2,1,1021,126,,,0.12858305874725684,0.2253592052511626,0.7420686331613403,0.07936507936507936,0.0,0.7797053573979364,,10,0,126,42
h10_d05,LogisticRegressionL2,1,1021,126,,,0.12858305874725684,0.2253592052511626,0.7420686331613403,0.07936507936507936,0.0,0.7797053573979364,,10,0,126,43
h10_d05,LogisticRegressionL2,1,1021,126,,,0.12858305874725684,0.2253592052511626,0.7420686331613403,0.07936507936507936,0.0,0.7797053573979364,,10,0,126,44
h10_d05,LogisticRegressionL2,1,1021,126,,,0.12858305874725684,0.2253592052511626,0.7420686331613403,0.07936507936507936,0.0,0.7797053573979364,,10,0,126,45
h10_d05,LogisticRegressionL2,1,1021,126,,,0.12858305874725684,0.2253592052511626,0.7420686331613403,0.07936507936507936,0.0,0.7797053573979364,,10,0,126,46
h10_d05,LightGbmTuned,1,1021,126,,,0.04445960578875135,0.16220537953552358,0.323971135862326,0.09523809523809523,0.0,0.7743615083643851,,12,0,126,42
h10_d05,LightGbmTuned,1,1021,126,,,0.04445960578875135,0.16220537953552358,0.323971135862326,0.09523809523809523,0.0,0.7743615083643851,,12,0,126,43
h10_d05,LightGbmTuned,1,1021,126,,,0.04445960578875135,0.16220537953552358,0.323971135862326,0.09523809523809523,0.0,0.7743615083643851,,12,0,126,44
h10_d05,LightGbmTuned,1,1021,126,,,0.04445960578875135,0.16220537953552358,0.323971135862326,0.09523809523809523,0.0,0.7743615083643851,,12,0,126,45
h10_d05,LightGbmTuned,1,1021,126,,,0.04445960578875135,0.16220537953552358,0.323971135862326,0.09523809523809523,0.0,0.7743615083643851,,12,0,126,46
h10_d05,LogisticRegressionL2,2,1147,135,0.6293103448275863,0.2938661476921785,0.12212542691208293,0.13391796687857002,0.6838316839919467,0.037037037037037035,0.8,3.2674223398745745,1.125265907114387,5,19,135,42
h10_d05,LogisticRegressionL2,2,1147,135,0.6293103448275863,0.2938661476921785,0.12212542691208293,0.13391796687857002,0.6838316839919467,0.037037037037037035,0.8,3.2674223398745745,1.125265907114387,5,19,135,43
h10_d05,LogisticRegressionL2,2,1147,135,0.6293103448275863,0.2938661476921785,0.12212542691208293,0.13391796687857002,0.6838316839919467,0.037037037037037035,0.8,3.2674223398745745,1.125265907114387,5,19,135,44
h10_d05,LogisticRegressionL2,2,1147,135,0.6293103448275863,0.2938661476921785,0.12212542691208293,0.13391796687857002,0.6838316839919467,0.037037037037037035,0.8,3.2674223398745745,1.125265907114387,5,19,135,45
h10_d05,LogisticRegressionL2,2,1147,135,0.6293103448275863,0.2938661476921785,0.12212542691208293,0.13391796687857002,0.6838316839919467,0.037037037037037035,0.8,3.2674223398745745,1.125265907114387,5,19,135,46
h10_d05,LightGbmTuned,2,1147,135,0.3781760435571687,0.12103906564294789,0.14076465058401116,0.0902857848523291,0.3904332224650187,0.05185185185185185,0.0,0.9225451145393717,,7,19,135,42
h10_d05,LightGbmTuned,2,1147,135,0.3781760435571687,0.12103906564294789,0.14076465058401116,0.0902857848523291,0.3904332224650187,0.05185185185185185,0.0,0.9225451145393717,,7,19,135,43
h10_d05,LightGbmTuned,2,1147,135,0.3781760435571687,0.12103906564294789,0.14076465058401116,0.0902857848523291,0.3904332224650187,0.05185185185185185,0.0,0.9225451145393717,,7,19,135,44
h10_d05,LightGbmTuned,2,1147,135,0.3781760435571687,0.12103906564294789,0.14076465058401116,0.0902857848523291,0.3904332224650187,0.05185185185185185,0.0,0.9225451145393717,,7,19,135,45
h10_d05,LightGbmTuned,2,1147,135,0.3781760435571687,0.12103906564294789,0.14076465058401116,0.0902857848523291,0.3904332224650187,0.05185185185185185,0.0,0.9225451145393717,,7,19,135,46
h10_d05,LogisticRegressionL2,3,1282,136,0.7308970099667774,0.16157352785832566,0.1638431957476487,0.19759531071768346,0.8296062323284988,0.09558823529411764,0.07692307692307693,1.4581965955703011,0.8977154158354522,13,7,136,42
h10_d05,LogisticRegressionL2,3,1282,136,0.7308970099667774,0.16157352785832566,0.1638431957476487,0.19759531071768346,0.8296062323284988,0.09558823529411764,0.07692307692307693,1.4581965955703011,0.8977154158354522,13,7,136,43
h10_d05,LogisticRegressionL2,3,1282,136,0.7308970099667774,0.16157352785832566,0.1638431957476487,0.19759531071768346,0.8296062323284988,0.09558823529411764,0.07692307692307693,1.4581965955703011,0.8977154158354522,13,7,136,44
h10_d05,LogisticRegressionL2,3,1282,136,0.7308970099667774,0.16157352785832566,0.1638431957476487,0.19759531071768346,0.8296062323284988,0.09558823529411764,0.07692307692307693,1.4581965955703011,0.8977154158354522,13,7,136,45
h10_d05,LogisticRegressionL2,3,1282,136,0.7308970099667774,0.16157352785832566,0.1638431957476487,0.19759531071768346,0.8296062323284988,0.09558823529411764,0.07692307692307693,1.4581965955703011,0.8977154158354522,13,7,136,46
h10_d05,LightGbmTuned,3,1282,136,0.6112956810631229,0.07056967627864341,0.11549464061657094,0.13836702468551676,0.7929454585689716,0.051470588235294115,0.0,1.35486357075924,,7,7,136,42
h10_d05,LightGbmTuned,3,1282,136,0.6112956810631229,0.07056967627864341,0.11549464061657094,0.13836702468551676,0.7929454585689716,0.051470588235294115,0.0,1.35486357075924,,7,7,136,43
h10_d05,LightGbmTuned,3,1282,136,0.6112956810631229,0.07056967627864341,0.11549464061657094,0.13836702468551676,0.7929454585689716,0.051470588235294115,0.0,1.35486357075924,,7,7,136,44
h10_d05,LightGbmTuned,3,1282,136,0.6112956810631229,0.07056967627864341,0.11549464061657094,0.13836702468551676,0.7929454585689716,0.051470588235294115,0.0,1.35486357075924,,7,7,136,45
h10_d05,LightGbmTuned,3,1282,136,0.6112956810631229,0.07056967627864341,0.11549464061657094,0.13836702468551676,0.7929454585689716,0.051470588235294115,0.0,1.35486357075924,,7,7,136,46
h10_d05,LogisticRegressionL2,4,1418,135,,,0.33304681512068157,0.46143574115941843,0.8406761987530313,0.2074074074074074,0.0,0.9562519439769062,,28,0,135,42
h10_d05,LogisticRegressionL2,4,1418,135,,,0.33304681512068157,0.46143574115941843,0.8406761987530313,0.2074074074074074,0.0,0.9562519439769062,,28,0,135,43
h10_d05,LogisticRegressionL2,4,1418,135,,,0.33304681512068157,0.46143574115941843,0.8406761987530313,0.2074074074074074,0.0,0.9562519439769062,,28,0,135,44
h10_d05,LogisticRegressionL2,4,1418,135,,,0.33304681512068157,0.46143574115941843,0.8406761987530313,0.2074074074074074,0.0,0.9562519439769062,,28,0,135,45
h10_d05,LogisticRegressionL2,4,1418,135,,,0.33304681512068157,0.46143574115941843,0.8406761987530313,0.2074074074074074,0.0,0.9562519439769062,,28,0,135,46
h10_d05,LightGbmTuned,4,1418,135,,,0.12161799251330466,0.299707281724501,0.736490437998958,0.06666666666666667,0.0,1.1781942563408327,,9,0,135,42
h10_d05,LightGbmTuned,4,1418,135,,,0.12161799251330466,0.299707281724501,0.736490437998958,0.06666666666666667,0.0,1.1781942563408327,,9,0,135,43
h10_d05,LightGbmTuned,4,1418,135,,,0.12161799251330466,0.299707281724501,0.736490437998958,0.06666666666666667,0.0,1.1781942563408327,,9,0,135,44
h10_d05,LightGbmTuned,4,1418,135,,,0.12161799251330466,0.299707281724501,0.736490437998958,0.06666666666666667,0.0,1.1781942563408327,,9,0,135,45
h10_d05,LightGbmTuned,4,1418,135,,,0.12161799251330466,0.299707281724501,0.736490437998958,0.06666666666666667,0.0,1.1781942563408327,,9,0,135,46
h10_d05,LogisticRegressionL2,5,1553,133,,,0.07680226575029178,0.20352684285119174,0.802406319473626,0.0,,,,0,0,133,42
h10_d05,LogisticRegressionL2,5,1553,133,,,0.07680226575029178,0.20352684285119174,0.802406319473626,0.0,,,,0,0,133,43
h10_d05,LogisticRegressionL2,5,1553,133,,,0.07680226575029178,0.20352684285119174,0.802406319473626,0.0,,,,0,0,133,44
h10_d05,LogisticRegressionL2,5,1553,133,,,0.07680226575029178,0.20352684285119174,0.802406319473626,0.0,,,,0,0,133,45
h10_d05,LogisticRegressionL2,5,1553,133,,,0.07680226575029178,0.20352684285119174,0.802406319473626,0.0,,,,0,0,133,46
h10_d05,LightGbmTuned,5,1553,133,,,0.015554402731052089,0.06548974849165488,0.5610747486548324,0.015037593984962405,0.0,0.775839815453554,,2,0,133,42
h10_d05,LightGbmTuned,5,1553,133,,,0.015554402731052089,0.06548974849165488,0.5610747486548324,0.015037593984962405,0.0,0.775839815453554,,2,0,133,43
h10_d05,LightGbmTuned,5,1553,133,,,0.015554402731052089,0.06548974849165488,0.5610747486548324,0.015037593984962405,0.0,0.775839815453554,,2,0,133,44
h10_d05,LightGbmTuned,5,1553,133,,,0.015554402731052089,0.06548974849165488,0.5610747486548324,0.015037593984962405,0.0,0.775839815453554,,2,0,133,45
h10_d05,LightGbmTuned,5,1553,133,,,0.015554402731052089,0.06548974849165488,0.5610747486548324,0.015037593984962405,0.0,0.775839815453554,,2,0,133,46
h10_d05,LogisticRegressionL2,6,1686,133,,,0.12546660551701433,0.23820161056500833,0.794023357472801,0.06766917293233082,0.0,1.7393620812611008,,9,0,133,42
h10_d05,LogisticRegressionL2,6,1686,133,,,0.12546660551701433,0.23820161056500833,0.794023357472801,0.06766917293233082,0.0,1.7393620812611008,,9,0,133,43
