stress_def,outer_fold,params,fold0_pr_auc,fold1_pr_auc,fold2_pr_auc,mean_score
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.03773584905660377,0.017241379310344827,0.169793768496099,0.07492366562101586
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.028352715817721415,0.01282051282051282,0.10745380600463564,0.04954234488095662
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.029072006160954948,0.014084507042253521,0.18627014272185136,0.07647555197501994
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 5, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03003663003663004,0.019230769230769232,0.15705846936665963,0.0687752895446863
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 5, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.028722600151171576,0.014925373134328358,0.1667818901056921,0.07014328779706401
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.028352715817721415,0.01282051282051282,0.10745380600463564,0.04954234488095662
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}",0.029072006160954948,0.014084507042253521,0.18627014272185136,0.07647555197501994
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 0.0}",0.03003663003663004,0.019230769230769232,0.15705846936665963,0.0687752895446863
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 10.0}",0.028722600151171576,0.014925373134328358,0.1667818901056921,0.07014328779706401
h5_d03,1,"{""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",0.028352715817721415,0.01282051282051282,0.10745380600463564,0.04954234488095662
