ablation,model,metric,delta_mean,delta_ci_low,delta_ci_high,wilcoxon_pvalue,n_folds_paired,effect_size_category,interpretation
global_scaler,LogisticRegressionL2,auc,-0.0030801413753472,-0.0052590719331014,-0.0012339727728833,0.0023872390766905,45,small,paper_relevant_finding
global_scaler,NaiveBaseRate,auc,0.0,0.0,0.0,1.0,60,negligible,no_effect_by_construction
global_scaler,VIXPercentileCalibrated,auc,9.251858538542969e-18,4.625929269271485e-18,1.4802973661668754e-17,0.0015654022580025,60,negligible,no_effect_by_construction
global_scaler,VIXPercentileRaw,auc,1.61907524424502e-17,1.0177044392397269e-17,2.220446049250313e-17,3.5592816489558494e-05,60,negligible,no_effect_by_construction
global_scaler,HarRvThreshold,pr_auc,3.50414142147315e-17,2.518818487118324e-17,4.517219931443606e-17,1.607505526400268e-06,50,negligible,no_effect_by_construction
global_scaler,LightGbmTuned,pr_auc,4.009138700035288e-17,3.4231876592608995e-17,4.5642502123478656e-17,1.3134126865324568e-08,45,negligible,no_effect_by_construction
global_scaler,LogisticRegressionL2,pr_auc,-0.0049287965585218,-0.0078073143767369,-0.0024486394545237,0.0583072560397615,45,small,expected_effect
global_scaler,NaiveBaseRate,pr_auc,3.353798720221827e-17,2.463307335887066e-17,4.278984574076125e-17,2.1892079240620602e-07,60,negligible,no_effect_by_construction
global_scaler,VIXPercentileCalibrated,pr_auc,3.23815048849004e-17,2.4980018054066026e-17,4.001428817919835e-17,2.9474690399457983e-08,60,negligible,no_effect_by_construction
global_scaler,VIXPercentileRaw,pr_auc,4.510281037539698e-17,3.874215763014869e-17,5.088522196198634e-17,2.456895084695567e-10,60,negligible,no_effect_by_construction
global_scaler,HarRvThreshold,brier,2.3164349029529786e-17,1.8917547600622917e-17,2.7503914426700145e-17,1.2185394354162648e-14,110,negligible,no_effect_by_construction
global_scaler,LightGbmTuned,brier,3.7296554733501346e-17,3.135994550460295e-17,4.333001935647513e-17,2.4989895140635484e-13,90,negligible,no_effect_by_construction
global_scaler,LogisticRegressionL2,brier,0.0042806483747165,0.0011805895824501,0.0079778703436625,0.8800204239247106,90,small,expected_effect
global_scaler,NaiveBaseRate,brier,4.746834238809263e-17,4.135728612479501e-17,5.350054758430039e-17,2.4080052565110808e-17,110,negligible,no_effect_by_construction
global_scaler,VIXPercentileCalibrated,brier,4.921045815160911e-17,4.3520774598552135e-17,5.499574862351253e-17,3.574668494589445e-18,110,negligible,no_effect_by_construction
global_scaler,VIXPercentileRaw,brier,1.892425610156517e-17,1.3972409088322286e-17,2.4128426529495588e-17,3.442281637229628e-09,110,negligible,no_effect_by_construction
global_scaler,HarRvThreshold,drawdown_lift,-1.0092936587501425e-17,-3.027880976250427e-17,7.065055611250995e-18,0.7678373118109704,55,negligible,no_effect_by_construction
global_scaler,LightGbmTuned,drawdown_lift,-7.401486830834377e-17,-1.1842378929335003e-16,-3.7007434154171876e-17,0.0015654022580025,60,negligible,no_effect_by_construction
global_scaler,LogisticRegressionL2,drawdown_lift,-0.0033701464589688,-0.0549076661163195,0.0448102010533341,0.380753046608233,70,small,expected_effect
global_scaler,NaiveBaseRate,drawdown_lift,,,,1.0,0,negligible,no_effect_by_construction
