corruption_type,rate,model,metric,delta_mean,delta_ci_low,delta_ci_high,wilcoxon_pvalue,n_pairs
duplicate_dates,0.1,LogisticRegressionL2,auc,-0.020408606326029418,-0.03503758540507396,-0.005917424717316754,0.08519931642211336,225
duplicate_dates,0.1,LogisticRegressionL2,brier,0.013070949827176033,0.009728690353576614,0.0165465505917692,2.810855952556752e-11,450
duplicate_dates,0.1,LogisticRegressionL2,drawdown_lift,0.029762905311346,-0.07252046208096978,0.12351832149267965,0.152458095585034,320
duplicate_dates,0.1,LogisticRegressionL2,pr_auc,0.01939893084702553,0.010523333541593021,0.028426120376751542,1.0205820023045244e-06,225
extreme_jumps,0.01,LightGbmTuned,alarm_rate,0.0,0.0,0.0,1.0,450
extreme_jumps,0.01,LightGbmTuned,auc,0.0,0.0,0.0,1.0,230
extreme_jumps,0.01,LightGbmTuned,brier,0.0,0.0,0.0,1.0,450
extreme_jumps,0.01,LightGbmTuned,drawdown_lift,0.0,0.0,0.0,1.0,305
extreme_jumps,0.01,LightGbmTuned,pr_auc,0.0,0.0,0.0,1.0,230
extreme_jumps,0.01,LogisticRegressionL2,alarm_rate,0.0,0.0,0.0,1.0,450
extreme_jumps,0.01,LogisticRegressionL2,auc,0.0,0.0,0.0,1.0,230
extreme_jumps,0.01,LogisticRegressionL2,brier,0.0,0.0,0.0,1.0,450
extreme_jumps,0.01,LogisticRegressionL2,drawdown_lift,0.0,0.0,0.0,1.0,370
extreme_jumps,0.01,LogisticRegressionL2,pr_auc,0.0,0.0,0.0,1.0,230
extreme_jumps,0.05,LightGbmTuned,alarm_rate,0.0,0.0,0.0,1.0,450
extreme_jumps,0.05,LightGbmTuned,auc,0.0,0.0,0.0,1.0,245
extreme_jumps,0.05,LightGbmTuned,brier,0.0,0.0,0.0,1.0,450
extreme_jumps,0.05,LightGbmTuned,drawdown_lift,0.0,0.0,0.0,1.0,295
extreme_jumps,0.05,LightGbmTuned,pr_auc,0.0,0.0,0.0,1.0,245
extreme_jumps,0.05,LogisticRegressionL2,alarm_rate,0.0,0.0,0.0,1.0,450
extreme_jumps,0.05,LogisticRegressionL2,auc,0.0,0.0,0.0,1.0,245
extreme_jumps,0.05,LogisticRegressionL2,brier,0.0,0.0,0.0,1.0,450
extreme_jumps,0.05,LogisticRegressionL2,drawdown_lift,0.0,0.0,0.0,1.0,380
extreme_jumps,0.05,LogisticRegressionL2,pr_auc,0.0,0.0,0.0,1.0,245
extreme_jumps,0.1,LightGbmTuned,alarm_rate,0.0,0.0,0.0,1.0,450
extreme_jumps,0.1,LightGbmTuned,auc,0.0,0.0,0.0,1.0,260
extreme_jumps,0.1,LightGbmTuned,brier,0.0,0.0,0.0,1.0,450
