corruption_type,rate,model,metric,n_obs,n_both_valid,n_enabled_only_valid,n_silenced_only_valid,n_both_nan,enabled_valid_rate,silenced_valid_rate,branch_failure_rate
duplicate_dates,0.1,LightGbmTuned,brier,550,450,0,25,75,0.8181818181818182,0.8636363636363636,0.0
duplicate_dates,0.1,LightGbmTuned,drawdown_lift,550,280,20,25,225,0.5454545454545454,0.5545454545454546,0.03636363636363636
duplicate_dates,0.1,LightGbmTuned,pr_auc,550,225,0,10,315,0.4090909090909091,0.42727272727272725,0.0
duplicate_dates,0.1,LogisticRegressionL2,alarm_rate,550,450,0,25,75,0.8181818181818182,0.8636363636363636,0.0
duplicate_dates,0.1,LogisticRegressionL2,auc,550,225,0,10,315,0.4090909090909091,0.42727272727272725,0.0
duplicate_dates,0.1,LogisticRegressionL2,brier,550,450,0,25,75,0.8181818181818182,0.8636363636363636,0.0
duplicate_dates,0.1,LogisticRegressionL2,drawdown_lift,550,320,30,15,185,0.6363636363636364,0.6090909090909091,0.05454545454545454
duplicate_dates,0.1,LogisticRegressionL2,pr_auc,550,225,0,10,315,0.4090909090909091,0.42727272727272725,0.0
extreme_jumps,0.01,LightGbmTuned,alarm_rate,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
extreme_jumps,0.01,LightGbmTuned,auc,550,230,0,0,320,0.41818181818181815,0.41818181818181815,0.0
extreme_jumps,0.01,LightGbmTuned,brier,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
extreme_jumps,0.01,LightGbmTuned,drawdown_lift,550,305,0,0,245,0.5545454545454546,0.5545454545454546,0.0
extreme_jumps,0.01,LightGbmTuned,pr_auc,550,230,0,0,320,0.41818181818181815,0.41818181818181815,0.0
extreme_jumps,0.01,LogisticRegressionL2,alarm_rate,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
extreme_jumps,0.01,LogisticRegressionL2,auc,550,230,0,0,320,0.41818181818181815,0.41818181818181815,0.0
extreme_jumps,0.01,LogisticRegressionL2,brier,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
extreme_jumps,0.01,LogisticRegressionL2,drawdown_lift,550,370,0,0,180,0.6727272727272727,0.6727272727272727,0.0
extreme_jumps,0.01,LogisticRegressionL2,pr_auc,550,230,0,0,320,0.41818181818181815,0.41818181818181815,0.0
extreme_jumps,0.05,LightGbmTuned,alarm_rate,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
extreme_jumps,0.05,LightGbmTuned,auc,550,245,0,0,305,0.44545454545454544,0.44545454545454544,0.0
extreme_jumps,0.05,LightGbmTuned,brier,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
extreme_jumps,0.05,LightGbmTuned,drawdown_lift,550,295,0,0,255,0.5363636363636364,0.5363636363636364,0.0
extreme_jumps,0.05,LightGbmTuned,pr_auc,550,245,0,0,305,0.44545454545454544,0.44545454545454544,0.0
extreme_jumps,0.05,LogisticRegressionL2,alarm_rate,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
extreme_jumps,0.05,LogisticRegressionL2,auc,550,245,0,0,305,0.44545454545454544,0.44545454545454544,0.0
extreme_jumps,0.05,LogisticRegressionL2,brier,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
extreme_jumps,0.05,LogisticRegressionL2,drawdown_lift,550,380,0,0,170,0.6909090909090909,0.6909090909090909,0.0
extreme_jumps,0.05,LogisticRegressionL2,pr_auc,550,245,0,0,305,0.44545454545454544,0.44545454545454544,0.0
extreme_jumps,0.1,LightGbmTuned,alarm_rate,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
extreme_jumps,0.1,LightGbmTuned,auc,550,260,0,0,290,0.4727272727272727,0.4727272727272727,0.0
extreme_jumps,0.1,LightGbmTuned,brier,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
extreme_jumps,0.1,LightGbmTuned,drawdown_lift,550,295,0,0,255,0.5363636363636364,0.5363636363636364,0.0
extreme_jumps,0.1,LightGbmTuned,pr_auc,550,260,0,0,290,0.4727272727272727,0.4727272727272727,0.0
extreme_jumps,0.1,LogisticRegressionL2,alarm_rate,550,450,0,0,100,0.8181818181818182,0.8181818181818182,0.0
extreme_jumps,0.1,LogisticRegressionL2,auc,550,260,0,0,290,0.4727272727272727,0.4727272727272727,0.0
