corruption_type,rate,model,metric,delta_mean,delta_ci_low,delta_ci_high,wilcoxon_pvalue,n_pairs
stale_quotes,0.01,LogisticRegressionL2,auc,0.0022168023578396662,0.00046929579835113775,0.004142021131230232,0.7805359609043294,225
stale_quotes,0.01,LogisticRegressionL2,pr_auc,0.0010064220906020026,-0.00019849161963613463,0.0022276478966250035,0.6096506445132648,225
stale_quotes,0.01,LogisticRegressionL2,brier,0.0010883018842674495,0.00011456467037624918,0.002229673091275936,0.1918431346194639,450
stale_quotes,0.01,LogisticRegressionL2,drawdown_lift,-9.540828483165826e-05,-0.01437195069572597,0.013738347259342469,0.194905726376844,350
stale_quotes,0.01,LogisticRegressionL2,alarm_rate,-0.0015345042782722877,-0.0031838433699296212,6.526945761023298e-05,0.06538382823243206,450
stale_quotes,0.01,LightGbmTuned,auc,0.003614915143260476,0.001092575896317494,0.006471726290548121,0.2235856661453388,225
stale_quotes,0.01,LightGbmTuned,pr_auc,0.008735426456298306,0.005541853238092998,0.012226800441190063,3.7006447699952676e-05,225
stale_quotes,0.01,LightGbmTuned,brier,0.000562323470910929,0.0002467899007382515,0.0008810742486956722,0.09316453848196005,450
stale_quotes,0.01,LightGbmTuned,drawdown_lift,-0.12877828764659519,-0.17247604511141182,-0.08746990297675196,1.3645756148206241e-05,295
stale_quotes,0.01,LightGbmTuned,alarm_rate,0.0004553366556819308,-0.0005041379659872209,0.0013934740538297436,0.42635290330591946,450
stale_quotes,0.05,LogisticRegressionL2,auc,0.005610368174517953,0.0006966477105457632,0.010502560356628544,0.16933371837053257,225
stale_quotes,0.05,LogisticRegressionL2,pr_auc,-0.0006738419556390281,-0.003161313014275806,0.0018963968609816337,0.5677649870831809,225
stale_quotes,0.05,LogisticRegressionL2,brier,-0.001507034321262372,-0.002969028324624766,-5.861640408743302e-05,0.16665317241081856,450
stale_quotes,0.05,LogisticRegressionL2,drawdown_lift,-0.054441184382752236,-0.09119889498667287,-0.018497458648420787,0.033033734893681686,350
stale_quotes,0.05,LogisticRegressionL2,alarm_rate,0.0014225268258246941,-0.0010029724656098623,0.004085634205249441,0.1935716906058178,450
