stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed
h10_d05,LogisticRegressionL2,1,971,124,,,0.1824443532392101,0.3011877758586643,0.7743134695780093,0.11290322580645161,0.0,0.6424673306910303,,14,0,124,42
h10_d05,LogisticRegressionL2,1,971,124,,,0.1824443532392101,0.3011877758586643,0.7743134695780093,0.11290322580645161,0.0,0.6424673306910303,,14,0,124,43
h10_d05,LogisticRegressionL2,1,971,124,,,0.1824443532392101,0.3011877758586643,0.7743134695780093,0.11290322580645161,0.0,0.6424673306910303,,14,0,124,44
h10_d05,LogisticRegressionL2,1,971,124,,,0.1824443532392101,0.3011877758586643,0.7743134695780093,0.11290322580645161,0.0,0.6424673306910303,,14,0,124,45
h10_d05,LogisticRegressionL2,1,971,124,,,0.1824443532392101,0.3011877758586643,0.7743134695780093,0.11290322580645161,0.0,0.6424673306910303,,14,0,124,46
h10_d05,LightGbmTuned,1,971,124,,,0.07966598713772831,0.218223174687641,0.36972011129173843,0.1532258064516129,0.0,0.5076095346591294,,19,0,124,42
h10_d05,LightGbmTuned,1,971,124,,,0.07966598713772831,0.218223174687641,0.36972011129173843,0.1532258064516129,0.0,0.5076095346591294,,19,0,124,43
h10_d05,LightGbmTuned,1,971,124,,,0.07966598713772831,0.218223174687641,0.36972011129173843,0.1532258064516129,0.0,0.5076095346591294,,19,0,124,44
h10_d05,LightGbmTuned,1,971,124,,,0.07966598713772831,0.218223174687641,0.36972011129173843,0.1532258064516129,0.0,0.5076095346591294,,19,0,124,45
h10_d05,LightGbmTuned,1,971,124,,,0.07966598713772831,0.218223174687641,0.36972011129173843,0.1532258064516129,0.0,0.5076095346591294,,19,0,124,46
h10_d05,LogisticRegressionL2,2,1095,127,0.6595310907237512,0.32454178093242625,0.13065384259589266,0.12429808057227093,0.7874765110193372,0.023622047244094488,0.6666666666666666,2.3966655435247968,0.9740003150022857,3,18,127,42
h10_d05,LogisticRegressionL2,2,1095,127,0.6595310907237512,0.32454178093242625,0.13065384259589266,0.12429808057227093,0.7874765110193372,0.023622047244094488,0.6666666666666666,2.3966655435247968,0.9740003150022857,3,18,127,43
h10_d05,LogisticRegressionL2,2,1095,127,0.6595310907237512,0.32454178093242625,0.13065384259589266,0.12429808057227093,0.7874765110193372,0.023622047244094488,0.6666666666666666,2.3966655435247968,0.9740003150022857,3,18,127,44
h10_d05,LogisticRegressionL2,2,1095,127,0.6595310907237512,0.32454178093242625,0.13065384259589266,0.12429808057227093,0.7874765110193372,0.023622047244094488,0.6666666666666666,2.3966655435247968,0.9740003150022857,3,18,127,45
h10_d05,LogisticRegressionL2,2,1095,127,0.6595310907237512,0.32454178093242625,0.13065384259589266,0.12429808057227093,0.7874765110193372,0.023622047244094488,0.6666666666666666,2.3966655435247968,0.9740003150022857,3,18,127,46
