ablation_id,stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed,calm_period_alarm_rate
global_scaler,h10_d05,NaiveBaseRate,1,971,124,,,0.0029792934333572672,0.05458290422245109,0.05458290422245108,0.0,,,,0,0,124,42,0.0
global_scaler,h10_d05,NaiveBaseRate,1,971,124,,,0.0029792934333572672,0.05458290422245109,0.05458290422245108,0.0,,,,0,0,124,43,0.0
global_scaler,h10_d05,NaiveBaseRate,1,971,124,,,0.0029792934333572672,0.05458290422245109,0.05458290422245108,0.0,,,,0,0,124,44,0.0
global_scaler,h10_d05,NaiveBaseRate,1,971,124,,,0.0029792934333572672,0.05458290422245109,0.05458290422245108,0.0,,,,0,0,124,45,0.0
global_scaler,h10_d05,NaiveBaseRate,1,971,124,,,0.0029792934333572672,0.05458290422245109,0.05458290422245108,0.0,,,,0,0,124,46,0.0
global_scaler,h10_d05,VIXPercentileRaw,1,971,124,,,0.2039983839508259,0.39353343742732794,0.9500514933058701,0.0,,,,0,0,124,42,0.0
global_scaler,h10_d05,VIXPercentileRaw,1,971,124,,,0.2039983839508259,0.39353343742732794,0.9500514933058701,0.0,,,,0,0,124,43,0.0
global_scaler,h10_d05,VIXPercentileRaw,1,971,124,,,0.2039983839508259,0.39353343742732794,0.9500514933058701,0.0,,,,0,0,124,44,0.0
global_scaler,h10_d05,VIXPercentileRaw,1,971,124,,,0.2039983839508259,0.39353343742732794,0.9500514933058701,0.0,,,,0,0,124,45,0.0
global_scaler,h10_d05,VIXPercentileRaw,1,971,124,,,0.2039983839508259,0.39353343742732794,0.9500514933058701,0.0,,,,0,0,124,46,0.0
global_scaler,h10_d05,VIXPercentileCalibrated,1,971,124,,,0.0008517247603876941,0.023269242589749245,0.2753623188405797,0.0,,,,0,0,124,42,0.0
global_scaler,h10_d05,VIXPercentileCalibrated,1,971,124,,,0.0008517247603876941,0.023269242589749245,0.2753623188405797,0.0,,,,0,0,124,43,0.0
global_scaler,h10_d05,VIXPercentileCalibrated,1,971,124,,,0.0008517247603876941,0.023269242589749245,0.2753623188405797,0.0,,,,0,0,124,44,0.0
global_scaler,h10_d05,VIXPercentileCalibrated,1,971,124,,,0.0008517247603876941,0.023269242589749245,0.2753623188405797,0.0,,,,0,0,124,45,0.0
global_scaler,h10_d05,VIXPercentileCalibrated,1,971,124,,,0.0008517247603876941,0.023269242589749245,0.2753623188405797,0.0,,,,0,0,124,46,0.0
global_scaler,h10_d05,HarRvThreshold,1,971,124,,,0.0007105973380589114,0.022672388295915755,0.20652733312486413,0.0,,,,0,0,102,42,0.0
global_scaler,h10_d05,HarRvThreshold,1,971,124,,,0.0007105973380589114,0.022672388295915755,0.20652733312486413,0.0,,,,0,0,102,43,0.0
global_scaler,h10_d05,HarRvThreshold,1,971,124,,,0.0007105973380589114,0.022672388295915755,0.20652733312486413,0.0,,,,0,0,102,44,0.0
global_scaler,h10_d05,HarRvThreshold,1,971,124,,,0.0007105973380589114,0.022672388295915755,0.20652733312486413,0.0,,,,0,0,102,45,0.0
global_scaler,h10_d05,HarRvThreshold,1,971,124,,,0.0007105973380589114,0.022672388295915755,0.20652733312486413,0.0,,,,0,0,102,46,0.0
global_scaler,h10_d05,LogisticRegressionL2,1,971,124,,,0.2514917989011509,0.4022682935478549,0.7803429867488225,0.1532258064516129,0.0,0.5787272182680243,,19,0,124,42,0.1532258064516129
global_scaler,h10_d05,LogisticRegressionL2,1,971,124,,,0.2514917989011509,0.4022682935478549,0.7803429867488225,0.1532258064516129,0.0,0.5787272182680243,,19,0,124,43,0.1532258064516129
global_scaler,h10_d05,LogisticRegressionL2,1,971,124,,,0.2514917989011509,0.4022682935478549,0.7803429867488225,0.1532258064516129,0.0,0.5787272182680243,,19,0,124,44,0.1532258064516129
global_scaler,h10_d05,LogisticRegressionL2,1,971,124,,,0.2514917989011509,0.4022682935478549,0.7803429867488225,0.1532258064516129,0.0,0.5787272182680243,,19,0,124,45,0.1532258064516129
global_scaler,h10_d05,LogisticRegressionL2,1,971,124,,,0.2514917989011509,0.4022682935478549,0.7803429867488225,0.1532258064516129,0.0,0.5787272182680243,,19,0,124,46,0.1532258064516129
global_scaler,h10_d05,LightGbmTuned,1,971,124,,,0.07966598713772831,0.218223174687641,0.36972011129173843,0.1532258064516129,0.0,0.5076095346591294,,19,0,124,42,0.1532258064516129
global_scaler,h10_d05,LightGbmTuned,1,971,124,,,0.07966598713772831,0.218223174687641,0.36972011129173843,0.1532258064516129,0.0,0.5076095346591294,,19,0,124,43,0.1532258064516129
global_scaler,h10_d05,LightGbmTuned,1,971,124,,,0.07966598713772831,0.218223174687641,0.36972011129173843,0.1532258064516129,0.0,0.5076095346591294,,19,0,124,44,0.1532258064516129
global_scaler,h10_d05,LightGbmTuned,1,971,124,,,0.07966598713772831,0.218223174687641,0.36972011129173843,0.1532258064516129,0.0,0.5076095346591294,,19,0,124,45,0.1532258064516129
global_scaler,h10_d05,LightGbmTuned,1,971,124,,,0.07966598713772831,0.218223174687641,0.36972011129173843,0.1532258064516129,0.0,0.5076095346591294,,19,0,124,46,0.1532258064516129
global_scaler,h10_d05,NaiveBaseRate,2,1095,127,0.5,0.14173228346456693,0.13035481748868463,0.09333045698054868,0.048401826484018265,0.0,,,,0,18,127,42,
global_scaler,h10_d05,NaiveBaseRate,2,1095,127,0.5,0.14173228346456693,0.13035481748868463,0.09333045698054868,0.048401826484018265,0.0,,,,0,18,127,43,
global_scaler,h10_d05,NaiveBaseRate,2,1095,127,0.5,0.14173228346456693,0.13035481748868463,0.09333045698054868,0.048401826484018265,0.0,,,,0,18,127,44,
global_scaler,h10_d05,NaiveBaseRate,2,1095,127,0.5,0.14173228346456693,0.13035481748868463,0.09333045698054868,0.048401826484018265,0.0,,,,0,18,127,45,
global_scaler,h10_d05,NaiveBaseRate,2,1095,127,0.5,0.14173228346456693,0.13035481748868463,0.09333045698054868,0.048401826484018265,0.0,,,,0,18,127,46,
global_scaler,h10_d05,VIXPercentileRaw,2,1095,127,0.36518858307849134,0.11676783631293151,0.4212861467002307,0.49964405134289713,0.9506849315068493,0.015748031496062992,0.0,0.2274348676271533,,2,18,127,42,
global_scaler,h10_d05,VIXPercentileRaw,2,1095,127,0.36518858307849134,0.11676783631293151,0.4212861467002307,0.49964405134289713,0.9506849315068493,0.015748031496062992,0.0,0.2274348676271533,,2,18,127,43,
global_scaler,h10_d05,VIXPercentileRaw,2,1095,127,0.36518858307849134,0.11676783631293151,0.4212861467002307,0.49964405134289713,0.9506849315068493,0.015748031496062992,0.0,0.2274348676271533,,2,18,127,44,
global_scaler,h10_d05,VIXPercentileRaw,2,1095,127,0.36518858307849134,0.11676783631293151,0.4212861467002307,0.49964405134289713,0.9506849315068493,0.015748031496062992,0.0,0.2274348676271533,,2,18,127,45,
