stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed
h10_d05,LogisticRegressionL2,1,971,124,,,0.17797355529293576,0.29664043119231076,0.7901131748708572,0.12096774193548387,0.0,0.6930470060048235,,15,0,124,42
h10_d05,LogisticRegressionL2,1,971,124,,,0.17797355529293576,0.29664043119231076,0.7901131748708572,0.12096774193548387,0.0,0.6930470060048235,,15,0,124,43
h10_d05,LogisticRegressionL2,1,971,124,,,0.17797355529293576,0.29664043119231076,0.7901131748708572,0.12096774193548387,0.0,0.6930470060048235,,15,0,124,44
h10_d05,LogisticRegressionL2,1,971,124,,,0.17797355529293576,0.29664043119231076,0.7901131748708572,0.12096774193548387,0.0,0.6930470060048235,,15,0,124,45
h10_d05,LogisticRegressionL2,1,971,124,,,0.17797355529293576,0.29664043119231076,0.7901131748708572,0.12096774193548387,0.0,0.6930470060048235,,15,0,124,46
h10_d05,LightGbmTuned,1,971,124,,,0.09063795740454089,0.22630051787973193,0.38890108795955525,0.11290322580645161,0.0,0.28209923752194443,,14,0,124,42
h10_d05,LightGbmTuned,1,971,124,,,0.09063795740454089,0.22630051787973193,0.38890108795955525,0.11290322580645161,0.0,0.28209923752194443,,14,0,124,43
h10_d05,LightGbmTuned,1,971,124,,,0.09063795740454089,0.22630051787973193,0.38890108795955525,0.11290322580645161,0.0,0.28209923752194443,,14,0,124,44
h10_d05,LightGbmTuned,1,971,124,,,0.09063795740454089,0.22630051787973193,0.38890108795955525,0.11290322580645161,0.0,0.28209923752194443,,14,0,124,45
h10_d05,LightGbmTuned,1,971,124,,,0.09063795740454089,0.22630051787973193,0.38890108795955525,0.11290322580645161,0.0,0.28209923752194443,,14,0,124,46
h10_d05,LogisticRegressionL2,2,1095,127,0.6590214067278288,0.36108468293002793,0.12929578850075427,0.13664775917667704,0.7735800415024708,0.023622047244094488,0.6666666666666666,2.3966655435247968,0.9740003150022857,3,18,127,42
h10_d05,LogisticRegressionL2,2,1095,127,0.6590214067278288,0.36108468293002793,0.12929578850075427,0.13664775917667704,0.7735800415024708,0.023622047244094488,0.6666666666666666,2.3966655435247968,0.9740003150022857,3,18,127,43
h10_d05,LogisticRegressionL2,2,1095,127,0.6590214067278288,0.36108468293002793,0.12929578850075427,0.13664775917667704,0.7735800415024708,0.023622047244094488,0.6666666666666666,2.3966655435247968,0.9740003150022857,3,18,127,44
h10_d05,LogisticRegressionL2,2,1095,127,0.6590214067278288,0.36108468293002793,0.12929578850075427,0.13664775917667704,0.7735800415024708,0.023622047244094488,0.6666666666666666,2.3966655435247968,0.9740003150022857,3,18,127,45
h10_d05,LogisticRegressionL2,2,1095,127,0.6590214067278288,0.36108468293002793,0.12929578850075427,0.13664775917667704,0.7735800415024708,0.023622047244094488,0.6666666666666666,2.3966655435247968,0.9740003150022857,3,18,127,46
h10_d05,LightGbmTuned,2,1095,127,0.54638124362895,0.20453836931095684,0.13968873321432496,0.11932626914979985,0.42328640803685275,0.08661417322834646,0.36363636363636365,2.0784540638670905,1.2763055904484109,11,18,127,42
h10_d05,LightGbmTuned,2,1095,127,0.54638124362895,0.20453836931095684,0.13968873321432496,0.11932626914979985,0.42328640803685275,0.08661417322834646,0.36363636363636365,2.0784540638670905,1.2763055904484109,11,18,127,43
h10_d05,LightGbmTuned,2,1095,127,0.54638124362895,0.20453836931095684,0.13968873321432496,0.11932626914979985,0.42328640803685275,0.08661417322834646,0.36363636363636365,2.0784540638670905,1.2763055904484109,11,18,127,44
h10_d05,LightGbmTuned,2,1095,127,0.54638124362895,0.20453836931095684,0.13968873321432496,0.11932626914979985,0.42328640803685275,0.08661417322834646,0.36363636363636365,2.0784540638670905,1.2763055904484109,11,18,127,45
h10_d05,LightGbmTuned,2,1095,127,0.54638124362895,0.20453836931095684,0.13968873321432496,0.11932626914979985,0.42328640803685275,0.08661417322834646,0.36363636363636365,2.0784540638670905,1.2763055904484109,11,18,127,46
h10_d05,LogisticRegressionL2,3,1222,126,0.8067226890756302,0.3591313448456306,0.18251422308818976,0.24645978394818885,0.8169988420323743,0.12698412698412698,0.1875,1.2614958977766197,0.9912742202452363,16,7,126,42
h10_d05,LogisticRegressionL2,3,1222,126,0.8067226890756302,0.3591313448456306,0.18251422308818976,0.24645978394818885,0.8169988420323743,0.12698412698412698,0.1875,1.2614958977766197,0.9912742202452363,16,7,126,43
