asset,stress_def,drift_metric,operational_metric,spearman_rho,p_value,n_pairs
spx,h10_d05,mean_psi,auc,-0.08161806296556194,0.14518645743957262,320
spx,h10_d05,mean_psi,pr_auc,0.5269580149458191,2.9020576513672023e-24,320
spx,h10_d05,mean_psi,drawdown_lift,0.31320699316654904,2.518817498657984e-07,260
spx,h10_d05,mean_psi,alarm_rate,0.12312405974761777,0.0021314968968065015,620
spx,h10_d05,mean_psi,alarm_rate_gap_abs,0.03925200786258833,0.3291780320450239,620
spx,h10_d05,mean_psi,alarm_rate_gap_signed,0.12312405974761777,0.0021314968968065015,620
spx,h10_d05,max_psi,auc,-0.1931650565690469,0.0005114237461125419,320
spx,h10_d05,max_psi,pr_auc,0.41353289887340655,1.1937385879308621e-14,320
spx,h10_d05,max_psi,drawdown_lift,0.18465475823386518,0.0028001441555440486,260
spx,h10_d05,max_psi,alarm_rate,0.12570268444744234,0.0017120900718407392,620
spx,h10_d05,max_psi,alarm_rate_gap_abs,-0.016697824520798564,0.6781694439801218,620
spx,h10_d05,max_psi,alarm_rate_gap_signed,0.12570268444744234,0.0017120900718407392,620
spx,h10_d05,mean_kl,auc,-0.08161806296556194,0.14518645743957262,320
spx,h10_d05,mean_kl,pr_auc,0.5269580149458191,2.9020576513672023e-24,320
spx,h10_d05,mean_kl,drawdown_lift,0.2858190336602516,2.8053803031594003e-06,260
spx,h10_d05,mean_kl,alarm_rate,0.14377413602223463,0.00032890903567472105,620
spx,h10_d05,mean_kl,alarm_rate_gap_abs,0.014962346861788572,0.7100206012830474,620
spx,h10_d05,mean_kl,alarm_rate_gap_signed,0.14377413602223463,0.00032890903567472105,620
spx,h10_d05,max_kl,auc,-0.1459064212980628,0.008953046251696486,320
spx,h10_d05,max_kl,pr_auc,0.24652039003744752,8.131936412655964e-06,320
spx,h10_d05,max_kl,drawdown_lift,0.13159058669041376,0.03393513180390302,260
spx,h10_d05,max_kl,alarm_rate,0.06134246033193009,0.12706722440950421,620
spx,h10_d05,max_kl,alarm_rate_gap_abs,-0.048301786100664726,0.22975943449526082,620
spx,h10_d05,max_kl,alarm_rate_gap_signed,0.06134246033193009,0.12706722440950421,620
spx,h10_d05,n_high_drift,auc,-0.16806271522294638,0.0025603721963223637,320
spx,h10_d05,n_high_drift,pr_auc,0.5344954803787338,4.870168935684124e-25,320
spx,h10_d05,n_high_drift,drawdown_lift,0.36010860514271964,2.225396574962816e-09,260
spx,h10_d05,n_high_drift,alarm_rate,0.06800814736386085,0.09065909204525237,620
spx,h10_d05,n_high_drift,alarm_rate_gap_abs,0.17326992851897424,1.4343392309535846e-05,620
spx,h10_d05,n_high_drift,alarm_rate_gap_signed,0.06800814736386085,0.09065909204525237,620
spx,h20_d07,mean_psi,auc,-0.15752012761269554,0.004736445084474868,320
spx,h20_d07,mean_psi,pr_auc,0.6725072499791749,1.7932538451460584e-43,320
spx,h20_d07,mean_psi,drawdown_lift,0.2359583894256637,0.00048472837098238075,215
spx,h20_d07,mean_psi,alarm_rate,0.14570815207344093,0.0002723976312581129,620
spx,h20_d07,mean_psi,alarm_rate_gap_abs,0.06235414160753758,0.12090601435602438,620
spx,h20_d07,mean_psi,alarm_rate_gap_signed,0.14570815207344093,0.0002723976312581129,620
spx,h20_d07,max_psi,auc,-0.0666582171778347,0.23441012349901177,320
spx,h20_d07,max_psi,pr_auc,0.5936023061350965,7.517751470590669e-32,320
spx,h20_d07,max_psi,drawdown_lift,0.1228618755334784,0.07220489718001871,215
spx,h20_d07,max_psi,alarm_rate,0.13388204680573731,0.0008318738036468357,620
spx,h20_d07,max_psi,alarm_rate_gap_abs,0.019189599294175255,0.6334355773427095,620
spx,h20_d07,max_psi,alarm_rate_gap_signed,0.13388204680573731,0.0008318738036468357,620
spx,h20_d07,mean_kl,auc,-0.1314936586003738,0.018610024864467264,320
spx,h20_d07,mean_kl,pr_auc,0.6253113400619539,4.0246788603478566e-36,320
spx,h20_d07,mean_kl,drawdown_lift,0.2359583894256637,0.00048472837098238075,215
spx,h20_d07,mean_kl,alarm_rate,0.15236311846310852,0.00013986193441430073,620
spx,h20_d07,mean_kl,alarm_rate_gap_abs,0.04571301606458954,0.2557297418377233,620
spx,h20_d07,mean_kl,alarm_rate_gap_signed,0.15236311846310852,0.00013986193441430073,620
spx,h20_d07,max_kl,auc,-0.0071757374670497025,0.8982575374077316,320
spx,h20_d07,max_kl,pr_auc,0.47287820160487287,3.1147002860788853e-19,320
spx,h20_d07,max_kl,drawdown_lift,0.11544322870520922,0.09131296633251892,215
spx,h20_d07,max_kl,alarm_rate,0.06971392606523015,0.0828346425330536,620
spx,h20_d07,max_kl,alarm_rate_gap_abs,-0.013551054749975295,0.7363030357897733,620
spx,h20_d07,max_kl,alarm_rate_gap_signed,0.06971392606523015,0.0828346425330536,620
spx,h20_d07,n_high_drift,auc,-0.2560775011428917,3.4751217383728265e-06,320
spx,h20_d07,n_high_drift,pr_auc,0.8021192873216834,3.492450015050435e-73,320
spx,h20_d07,n_high_drift,drawdown_lift,0.26911894542717274,6.413784429284482e-05,215
spx,h20_d07,n_high_drift,alarm_rate,0.10943246623313162,0.006380786296806381,620
spx,h20_d07,n_high_drift,alarm_rate_gap_abs,0.27386586490834625,3.962010185152719e-12,620
spx,h20_d07,n_high_drift,alarm_rate_gap_signed,0.10943246623313162,0.006380786296806381,620
spx,h5_d03,mean_psi,auc,0.14475966669733156,0.0009311689814214899,520
spx,h5_d03,mean_psi,pr_auc,0.49127675443353047,6.039051315555029e-33,520
spx,h5_d03,mean_psi,drawdown_lift,0.06990444822476409,0.29111934705145104,230
spx,h5_d03,mean_psi,alarm_rate,0.06994010428663437,0.08183943519696431,620
spx,h5_d03,mean_psi,alarm_rate_gap_abs,0.1742977193521593,1.2731329487540307e-05,620
spx,h5_d03,mean_psi,alarm_rate_gap_signed,0.06994010428663437,0.08183943519696431,620
spx,h5_d03,max_psi,auc,-0.06620558090782132,0.1316208454194921,520
spx,h5_d03,max_psi,pr_auc,0.41736247272649574,2.4656939389778852e-23,520
spx,h5_d03,max_psi,drawdown_lift,0.02870412741264649,0.6649878256430871,230
spx,h5_d03,max_psi,alarm_rate,0.10222742270003803,0.01086592994799502,620
spx,h5_d03,max_psi,alarm_rate_gap_abs,0.08742513035829297,0.029507121259048613,620
spx,h5_d03,max_psi,alarm_rate_gap_signed,0.10222742270003803,0.01086592994799502,620
spx,h5_d03,mean_kl,auc,0.05918914112274352,0.17776979204405235,520
spx,h5_d03,mean_kl,pr_auc,0.49576417830126035,1.3135344404208727e-33,520
spx,h5_d03,mean_kl,drawdown_lift,0.060625096690503366,0.360056261925624,230
spx,h5_d03,mean_kl,alarm_rate,0.0920708399881432,0.021860051264432488,620
spx,h5_d03,mean_kl,alarm_rate_gap_abs,0.1491570872707475,0.00019349822632826105,620
spx,h5_d03,mean_kl,alarm_rate_gap_signed,0.0920708399881432,0.021860051264432488,620
spx,h5_d03,max_kl,auc,-0.05099256620561898,0.2457369235829459,520
spx,h5_d03,max_kl,pr_auc,0.318254511304921,1.0535379311369744e-13,520
spx,h5_d03,max_kl,drawdown_lift,0.007176031853161622,0.9138066222169642,230
spx,h5_d03,max_kl,alarm_rate,0.029524611591270497,0.46305032104937244,620
spx,h5_d03,max_kl,alarm_rate_gap_abs,0.03323245495781764,0.4087815325674455,620
spx,h5_d03,max_kl,alarm_rate_gap_signed,0.029524611591270497,0.46305032104937244,620
spx,h5_d03,n_high_drift,auc,0.04793501210876863,0.27523626653211725,520
spx,h5_d03,n_high_drift,pr_auc,0.32818199571041495,1.598366921720385e-14,520
spx,h5_d03,n_high_drift,drawdown_lift,0.011163660800779919,0.8662779700143236,230
spx,h5_d03,n_high_drift,alarm_rate,-0.07760219360620407,0.0534468506213525,620
spx,h5_d03,n_high_drift,alarm_rate_gap_abs,0.2969772748688386,4.3273146518846026e-14,620
spx,h5_d03,n_high_drift,alarm_rate_gap_signed,-0.07760219360620407,0.0534468506213525,620
ndx,h10_d05,mean_psi,auc,-0.04951196099683629,0.239994625979693,565
ndx,h10_d05,mean_psi,pr_auc,0.10739853687364632,0.010631816881870718,565
ndx,h10_d05,mean_psi,drawdown_lift,0.36056953344746134,5.828096774683032e-06,150
ndx,h10_d05,mean_psi,alarm_rate,0.009906550910275065,0.7994741591522762,660
