,HarRvThreshold,LightGbmTuned,LogisticRegressionL2,NaiveBaseRate,VIXPercentileCalibrated,VIXPercentileRaw
HarRvThreshold,,0.8125,0.46875,0.232421875,0.76953125,0.6953125
LightGbmTuned,0.8125,,0.91015625,0.546875,0.12890625,0.07421875
LogisticRegressionL2,0.46875,0.91015625,,0.734375,0.30078125,0.07421875
NaiveBaseRate,0.232421875,0.546875,0.734375,,0.0341796875,0.06396484375
VIXPercentileCalibrated,0.76953125,0.12890625,0.30078125,0.0341796875,,0.9697265625
VIXPercentileRaw,0.6953125,0.07421875,0.07421875,0.06396484375,0.9697265625,
