,HarRvThreshold,LightGbmTuned,LogisticRegressionL2,NaiveBaseRate,VIXPercentileCalibrated,VIXPercentileRaw
HarRvThreshold,,0.578125,0.03125,1.0,1.0,0.07421875
LightGbmTuned,0.578125,,0.734375,1.0,0.75,0.5625
LogisticRegressionL2,0.03125,0.734375,,1.0,1.0,0.03125
NaiveBaseRate,1.0,1.0,1.0,,1.0,1.0
VIXPercentileCalibrated,1.0,0.75,1.0,1.0,,1.0
VIXPercentileRaw,0.07421875,0.5625,0.03125,1.0,1.0,
