,HarRvThreshold,LightGbmTuned,LogisticRegressionL2,NaiveBaseRate,VIXPercentileCalibrated,VIXPercentileRaw
HarRvThreshold,,0.463134765625,0.090576171875,0.168792724609375,0.040130615234375,0.02298736572265625
LightGbmTuned,0.463134765625,,0.172607421875,0.5015869140625,0.0352783203125,0.0494384765625
LogisticRegressionL2,0.090576171875,0.172607421875,,0.0352783203125,0.9515380859375,0.8077392578125
NaiveBaseRate,0.168792724609375,0.5015869140625,0.0352783203125,,0.008418773595809824,0.006490832494560188
VIXPercentileCalibrated,0.040130615234375,0.0352783203125,0.9515380859375,0.008418773595809824,,0.5412178039550781
VIXPercentileRaw,0.02298736572265625,0.0494384765625,0.8077392578125,0.006490832494560188,0.5412178039550781,
