,HarRvThreshold,LightGbmTuned,LogisticRegressionL2,NaiveBaseRate,VIXPercentileCalibrated,VIXPercentileRaw
HarRvThreshold,,0.375,0.4375,1.0,0.875,0.00390625
LightGbmTuned,0.375,,0.0625,1.0,1.0,0.5
LogisticRegressionL2,0.4375,0.0625,,1.0,1.0,0.0625
NaiveBaseRate,1.0,1.0,1.0,,1.0,1.0
VIXPercentileCalibrated,0.875,1.0,1.0,1.0,,0.625
VIXPercentileRaw,0.00390625,0.5,0.0625,1.0,0.625,
