,HarRvThreshold,LightGbmTuned,LogisticRegressionL2,NaiveBaseRate,VIXPercentileCalibrated,VIXPercentileRaw
HarRvThreshold,,0.078125,0.84375,0.064453125,0.322265625,0.275390625
LightGbmTuned,0.078125,,0.203125,0.07421875,0.02734375,0.01953125
LogisticRegressionL2,0.84375,0.203125,,1.0,1.0,1.0
NaiveBaseRate,0.064453125,0.07421875,1.0,,0.46484375,0.5693359375
VIXPercentileCalibrated,0.322265625,0.02734375,1.0,0.46484375,,0.7333984375
VIXPercentileRaw,0.275390625,0.01953125,1.0,0.5693359375,0.7333984375,
