stress_def,model,metric,mean,ci_low,ci_high,n_folds_total,n_folds_valid
h10_d05,HarRvThreshold,auc,0.4556357760812186,0.4160486507132812,0.4947489094646084,22,10
h10_d05,LightGbmTuned,auc,0.6001680414158166,0.5100386637527763,0.6860964507943911,22,9
h10_d05,LogisticRegressionL2,auc,0.4668525638019319,0.3024437486806421,0.6127081852330208,22,9
h10_d05,NaiveBaseRate,auc,0.5,0.5,0.5,22,12
h10_d05,VIXPercentileCalibrated,auc,0.4621808757635785,0.38306122900991274,0.5512789722206846,22,12
h10_d05,VIXPercentileRaw,auc,0.4664603304464477,0.3771387351034468,0.5617141648881934,22,12
h20_d07,HarRvThreshold,auc,0.4293402099528296,0.34758113696951287,0.5151262489848353,22,10
h20_d07,LightGbmTuned,auc,0.4601064202503065,0.36102824149305407,0.5526677277354785,22,9
h20_d07,LogisticRegressionL2,auc,0.4740511634552764,0.30260612748150195,0.6367377911214648,22,9
h20_d07,NaiveBaseRate,auc,0.5,0.5,0.5,22,12
h20_d07,VIXPercentileCalibrated,auc,0.3698976927556572,0.2667698990048406,0.47934387790575783,22,12
h20_d07,VIXPercentileRaw,auc,0.3709942387730985,0.2666741644582041,0.4800828015145566,22,12
h5_d03,HarRvThreshold,auc,0.5325860101455971,0.477802441602536,0.5769784389881936,22,19
h5_d03,LightGbmTuned,auc,0.526798039863508,0.46344032768826854,0.59191019475146,22,14
h5_d03,LogisticRegressionL2,auc,0.6189168507420251,0.519905680418854,0.7169577982442942,22,14
h5_d03,NaiveBaseRate,auc,0.5,0.5,0.5,22,19
h5_d03,VIXPercentileCalibrated,auc,0.5960724036112225,0.5389623853337153,0.657071295255442,22,19
h5_d03,VIXPercentileRaw,auc,0.6040173235048948,0.5466346356752161,0.6665389169475636,22,19
h10_d05,HarRvThreshold,pr_auc,0.184328077979857,0.10748063014112211,0.26752852669464133,22,10
h10_d05,LightGbmTuned,pr_auc,0.2285441991834541,0.13325166988721637,0.3634564615810189,22,9
h10_d05,LogisticRegressionL2,pr_auc,0.20310602749348172,0.12396585679569509,0.27975385750030823,22,9
h10_d05,NaiveBaseRate,pr_auc,0.1413439194084479,0.0897825364563169,0.19727867964675147,22,12
h10_d05,VIXPercentileCalibrated,pr_auc,0.1424522824086659,0.09711270605617242,0.19408596467487318,22,12
h10_d05,VIXPercentileRaw,pr_auc,0.1487421560752592,0.09442432553256352,0.21100899763154937,22,12
h20_d07,HarRvThreshold,pr_auc,0.17850397184490874,0.11142476233065102,0.24158334008547552,22,10
h20_d07,LightGbmTuned,pr_auc,0.19257082228921624,0.10940219800274,0.27580921373619516,22,9
h20_d07,LogisticRegressionL2,pr_auc,0.19308177511430002,0.10322189062203467,0.28525296726637467,22,9
h20_d07,NaiveBaseRate,pr_auc,0.16267647741580163,0.09497336482133278,0.23521857939431773,22,12
h20_d07,VIXPercentileCalibrated,pr_auc,0.14842524211023825,0.09099165514630247,0.20560557243376315,22,12
h20_d07,VIXPercentileRaw,pr_auc,0.13956380954707512,0.08434796210480264,0.19917492001150577,22,12
h5_d03,HarRvThreshold,pr_auc,0.18103283509406617,0.11966936938781712,0.2458878609316268,22,19
h5_d03,LightGbmTuned,pr_auc,0.14281813266180718,0.09053862811856023,0.2022367766520188,22,14
h5_d03,LogisticRegressionL2,pr_auc,0.18502073294957322,0.13008510856205036,0.2448364006147403,22,14
h5_d03,NaiveBaseRate,pr_auc,0.11266043397852832,0.07230947860031095,0.15455979773590245,22,19
h5_d03,VIXPercentileCalibrated,pr_auc,0.15317981110041223,0.10494671025772966,0.20035634649991982,22,19
h5_d03,VIXPercentileRaw,pr_auc,0.1617576613815488,0.11265459132081437,0.21355431400423636,22,19
h10_d05,HarRvThreshold,brier,0.07538743480693127,0.03252690155324824,0.12343039641768212,22,22
h10_d05,LightGbmTuned,brier,0.13525423210552628,0.09817766647419922,0.16811560126411748,22,18
h10_d05,LogisticRegressionL2,brier,0.19692848778251557,0.143546923271721,0.25550926226048676,22,18
h10_d05,NaiveBaseRate,brier,0.07185033458545236,0.03648165955419864,0.1109972923577211,22,22
h10_d05,VIXPercentileCalibrated,brier,0.0706061155771702,0.035941832869428245,0.10755571926874596,22,22
h10_d05,VIXPercentileRaw,brier,0.3487916220574503,0.2692581746804728,0.4322988978800918,22,22
h20_d07,HarRvThreshold,brier,0.0890082500795604,0.035662441997301175,0.14841942992775783,22,22
h20_d07,LightGbmTuned,brier,0.14107482485221612,0.08822741062126059,0.19929109925694258,22,18
h20_d07,LogisticRegressionL2,brier,0.22241704011096808,0.14612954714273538,0.30167500888384047,22,18
h20_d07,NaiveBaseRate,brier,0.08213830413816024,0.04107591137565142,0.12861587992045773,22,22
h20_d07,VIXPercentileCalibrated,brier,0.08174143117638036,0.040988675832361085,0.12749159563520174,22,22
h20_d07,VIXPercentileRaw,brier,0.35205783004693786,0.27136243694160267,0.43682090911431154,22,22
h5_d03,HarRvThreshold,brier,0.0965866755772668,0.05731787638813037,0.14224588783976908,22,22
h5_d03,LightGbmTuned,brier,0.17265752597288186,0.12708399532808498,0.21348217448426077,22,18
h5_d03,LogisticRegressionL2,brier,0.20587988607888888,0.15648068999708406,0.253400285631111,22,18
h5_d03,NaiveBaseRate,brier,0.08834209627495779,0.05683338210134249,0.12402645322888074,22,22
h5_d03,VIXPercentileCalibrated,brier,0.08332355132672412,0.05461254046422127,0.11413784815504188,22,22
h5_d03,VIXPercentileRaw,brier,0.3307808290405047,0.2567439006270783,0.41056804509336464,22,22
h10_d05,HarRvThreshold,ece,0.0774617871459184,0.03935695968566287,0.12065991996614885,22,22
h10_d05,LightGbmTuned,ece,0.220812309642683,0.16837053552586645,0.2682811188221697,22,18
h10_d05,LogisticRegressionL2,ece,0.29233223974887124,0.23136082777811115,0.3604309189355861,22,18
h10_d05,NaiveBaseRate,ece,0.08202983078763341,0.0586176581360442,0.1126141923206889,22,22
h10_d05,VIXPercentileCalibrated,ece,0.07012617273699177,0.04941282106403041,0.09317358079623758,22,22
h10_d05,VIXPercentileRaw,ece,0.4675078522466052,0.38675173364674403,0.5502633674837885,22,22
h20_d07,HarRvThreshold,ece,0.09358251378695108,0.04393380530575067,0.14568823308684697,22,22
h20_d07,LightGbmTuned,ece,0.20964711727105934,0.13988893420979298,0.281805381334925,22,18
h20_d07,LogisticRegressionL2,ece,0.30904620568744146,0.23405787360458896,0.39181193799047925,22,18
h20_d07,NaiveBaseRate,ece,0.10036375054165457,0.07077483596130603,0.13592799938566344,22,22
h20_d07,VIXPercentileCalibrated,ece,0.09465182214482061,0.06465233435941325,0.13257520430081002,22,22
h20_d07,VIXPercentileRaw,ece,0.4733425745913488,0.3912107381653731,0.5555723509687666,22,22
h5_d03,HarRvThreshold,ece,0.08673744395867025,0.051048402030284476,0.13058774617265492,22,22
h5_d03,LightGbmTuned,ece,0.26358564289563713,0.21340153952843854,0.31383299099633305,22,18
h5_d03,LogisticRegressionL2,ece,0.2972816727837688,0.24940750164255893,0.34545590571943735,22,18
h5_d03,NaiveBaseRate,ece,0.0754563195158566,0.053488784772493914,0.10318937185979536,22,22
h5_d03,VIXPercentileCalibrated,ece,0.05809284450872778,0.04475569722969045,0.07295382948387048,22,22
h5_d03,VIXPercentileRaw,ece,0.44398980944989597,0.37018550225196273,0.5215164144793415,22,22
